word,gold_segmentation,category,subcategory,confidence,morphemes,notes,validated,system_prediction,agrees
jendelai,jendelai,suffix_i,,medium,[],,False,,
lantaii,lantaii,suffix_i,,medium,[],,False,,
dindingi,dindingi,suffix_i,,medium,[],,False,,
atapi,atapi,suffix_i,,medium,[],,False,,
tanami,tanami,suffix_i,,medium,[],,False,,
sirami,sirami,suffix_i,,medium,[],,False,,
pupuki,pupuki,suffix_i,,medium,[],,False,,
potongi,potongi,suffix_i,,medium,[],,False,,
jahiti,jahiti,suffix_i,,medium,[],,False,,
mainan,mainan,suffix_an,,medium,[],,False,,
makanan,makanan,suffix_an,,medium,[],,False,,
minuman,minuman,suffix_an,,medium,[],,False,,
pakaian,pakaian,suffix_an,,medium,[],,False,,
tulisan,tulisan,suffix_an,,medium,[],,False,,
bacaan,bacaan,suffix_an,,medium,[],,False,,
ajaran,ajaran,suffix_an,,medium,[],,False,,
kiriman,kiriman,suffix_an,,medium,[],,False,,
pandangan,pandangan,suffix_an,,medium,[],,False,,
pendengaran,pendengaran,suffix_an,,medium,[],,False,,
permainan,permainan,suffix_an,,medium,[],,False,,
perjalanan,perjalanan,suffix_an,,medium,[],,False,,
perkataan,perkataan,suffix_an,,medium,[],,False,,
pertanyaan,pertanyaan,suffix_an,,medium,[],,False,,
perasaan,perasaan,suffix_an,,medium,[],,False,,
penglihatan,penglihatan,suffix_an,,medium,[],,False,,
pengetahuan,pengetahuan,suffix_an,,medium,[],,False,,
pendidikan,pendidikan,suffix_an,,medium,[],,False,,
pembelajaran,pembelajaran,suffix_an,,medium,[],,False,,
kebiasaan,kebiasaan,confix_ke_an,,medium,[],,False,,
kebersihan,kebersihan,confix_ke_an,,medium,[],,False,,
kecantikan,kecantikan,confix_ke_an,,medium,[],,False,,
kecelakaan,kecelakaan,confix_ke_an,,medium,[],,False,,
kecerdasan,kecerdasan,confix_ke_an,,medium,[],,False,,
kecintaan,kecintaan,confix_ke_an,,medium,[],,False,,
kecurian,kecurian,confix_ke_an,,medium,[],,False,,
kedamaian,kedamaian,confix_ke_an,,medium,[],,False,,
kedatangan,kedatangan,confix_ke_an,,medium,[],,False,,
kedinginan,kedinginan,confix_ke_an,,medium,[],,False,,
kegagalan,kegagalan,confix_ke_an,,medium,[],,False,,
kegelapan,kegelapan,confix_ke_an,,medium,[],,False,,
kegembiraan,kegembiraan,confix_ke_an,,medium,[],,False,,
kehangatan,kehangatan,confix_ke_an,,medium,[],,False,,
permainan,permainan,confix_per_an,,medium,[],,False,,
perjalanan,perjalanan,confix_per_an,,medium,[],,False,,
perkataan,perkataan,confix_per_an,,medium,[],,False,,
perubahan,perubahan,confix_per_an,,medium,[],,False,,
pertanyaan,pertanyaan,confix_per_an,,medium,[],,False,,
perhiasan,perhiasan,confix_per_an,,medium,[],,False,,
perlawanan,perlawanan,confix_per_an,,medium,[],,False,,
peraturan,peraturan,confix_per_an,,medium,[],,False,,
perkawinan,perkawinan,confix_per_an,,medium,[],,False,,
perlindungan,perlindungan,confix_per_an,,medium,[],,False,,
perdagangan,perdagangan,confix_per_an,,medium,[],,False,,
perkumpulan,perkumpulan,confix_per_an,,medium,[],,False,,
perbaikan,perbaikan,confix_per_an,,medium,[],,False,,
perkebunan,perkebunan,confix_per_an,,medium,[],,False,,
pembukaan,pembukaan,confix_peN_an,,medium,[],,False,,
pengajaran,pengajaran,confix_peN_an,,medium,[],,False,,
pengetahuan,pengetahuan,confix_peN_an,,medium,[],,False,,
pendidikan,pendidikan,confix_peN_an,,medium,[],,False,,
penggunaan,penggunaan,confix_peN_an,,medium,[],,False,,
pembangunan,pembangunan,confix_peN_an,,medium,[],,False,,
penyelesaian,penyelesaian,confix_peN_an,,medium,[],,False,,
pengembangan,pengembangan,confix_peN_an,,medium,[],,False,,
pemeliharaan,pemeliharaan,confix_peN_an,,medium,[],,False,,
pengawasan,pengawasan,confix_peN_an,,medium,[],,False,,
penelitian,penelitian,confix_peN_an,,medium,[],,False,,
pengiriman,pengiriman,confix_peN_an,,medium,[],,False,,
pembentukan,pembentukan,confix_peN_an,,medium,[],,False,,
pengolahan,pengolahan,confix_peN_an,,medium,[],,False,,
lelaki,lelaki,reduplication_partial,,medium,[],,False,,
sesama,sesama,reduplication_partial,,medium,[],,False,,
tetangga,tetangga,reduplication_partial,,medium,[],,False,,
leluhur,leluhur,reduplication_partial,,medium,[],,False,,
sesepuh,sesepuh,reduplication_partial,,medium,[],,False,,
tetua,tetua,reduplication_partial,,medium,[],,False,,
lelatu,lelatu,reduplication_partial,,medium,[],,False,,
sesaji,sesaji,reduplication_partial,,medium,[],,False,,
tetumbuhan,tetumbuhan,reduplication_partial,,medium,[],,False,,
bolak-balik,bolak-balik,reduplication_phonetic,,medium,[],,False,,
sayur-mayur,sayur-mayur,reduplication_phonetic,,medium,[],,False,,
lauk-pauk,lauk-pauk,reduplication_phonetic,,medium,[],,False,,
gerak-gerik,gerak-gerik,reduplication_phonetic,,medium,[],,False,,
serba-serbi,serba-serbi,reduplication_phonetic,,medium,[],,False,,
ramah-tamah,ramah-tamah,reduplication_phonetic,,medium,[],,False,,
hutan-belantara,hutan-belantara,reduplication_phonetic,,medium,[],,False,,
lambat-laun,lambat-laun,reduplication_phonetic,,medium,[],,False,,
tua-bangka,tua-bangka,reduplication_phonetic,,medium,[],,False,,
bukuku,bukuku,possessive,,medium,[],,False,,
bukumu,bukumu,possessive,,medium,[],,False,,
bukunya,bukunya,possessive,,medium,[],,False,,
rumahku,rumahku,possessive,,medium,[],,False,,
rumahmu,rumahmu,possessive,,medium,[],,False,,
rumahnya,rumahnya,possessive,,medium,[],,False,,
mobilku,mobilku,possessive,,medium,[],,False,,
mobilmu,mobilmu,possessive,,medium,[],,False,,
mobilnya,mobilnya,possessive,,medium,[],,False,,
tasnya,tasnya,possessive,,medium,[],,False,,
tasmuku,tasmuku,possessive,,medium,[],,False,,
tasku,tasku,possessive,,medium,[],,False,,
sepatuku,sepatuku,possessive,,medium,[],,False,,
sepatumu,sepatumu,possessive,,medium,[],,False,,
ambilkanlah,ambilkanlah,particle,,medium,[],,False,,
apakah,apakah,particle,,medium,[],,False,,
bacalah,bacalah,particle,,medium,[],,False,,
berjalanlah,berjalanlah,particle,,medium,[],,False,,
bukankah,bukankah,particle,,medium,[],,False,,
datanglah,datanglah,particle,,medium,[],,False,,
dengarkanlah,dengarkanlah,particle,,medium,[],,False,,
diambilpun,diambilpun,particle,,medium,[],,False,,
duduklah,duduklah,particle,,medium,[],,False,,
gurupun,gurupun,particle,,medium,[],,False,,
ikutlah,ikutlah,particle,,medium,[],,False,,
ingatkah,ingatkah,particle,,medium,[],,False,,
janganlah,janganlah,particle,,medium,[],,False,,
katakanlah,katakanlah,particle,,medium,[],,False,,
