word,gold_segmentation,category,subcategory,confidence,morphemes,notes,validated,system_prediction,agrees
penggunaan,peN~guna~an,confix_peN_an,,medium,[],,False,,
pembangunan,peN~bangun~an,confix_peN_an,,medium,[],,False,,
penyelesaian,peN~selesai~an,confix_peN_an,,medium,[],,False,,
pengembangan,peN~kembang~an,confix_peN_an,,medium,[],,False,,
pemeliharaan,peN~elih~an,confix_peN_an,,medium,[],,False,,
pengawasan,peN~awas~an,confix_peN_an,,medium,[],,False,,
penelitian,peN~teliti~an,confix_peN_an,,medium,[],,False,,
pengiriman,peN~kirim~an,confix_peN_an,,medium,[],,False,,
pembentukan,peN~bentuk~kan,confix_peN_an,,medium,[],,False,,
pengolahan,peN~olah~an,confix_peN_an,,medium,[],,False,,
lelaki,laki~rp,reduplication_partial,,medium,[],,False,,
sesama,se~sama,reduplication_partial,,medium,[],,False,,
tetangga,tetangga,reduplication_partial,,medium,[],,False,,
leluhur,luhur~rp,reduplication_partial,,medium,[],,False,,
sesepuh,se~sepuh,reduplication_partial,,medium,[],,False,,
tetua,tua~rp,reduplication_partial,,medium,[],,False,,
lelatu,latu~rp,reduplication_partial,,medium,[],,False,,
sesaji,se~saji,reduplication_partial,,medium,[],,False,,
tetumbuhan,tumbuh~ul~an,reduplication_partial,,medium,[],,False,,
bolak-balik,bolak~ulg~balik,reduplication_phonetic,,medium,[],,False,,
sayur-mayur,sayur~ulg~sayur,reduplication_phonetic,,medium,[],,False,,
lauk-pauk,lauk~ulg~pauk,reduplication_phonetic,,medium,[],,False,,
gerak-gerik,gerak~ulg~gerik,reduplication_phonetic,,medium,[],,False,,
serba-serbi,serba~ulg~serbi,reduplication_phonetic,,medium,[],,False,,
ramah-tamah,ramah~tamah,reduplication_phonetic,,medium,[],,False,,
hutan-belantara,hutan~belantara,reduplication_phonetic,,medium,[],,False,,
lambat-laun,lambat~ulg~laun,reduplication_phonetic,,medium,[],,False,,
tua-bangka,tua~bangka,reduplication_phonetic,,medium,[],,False,,
bukuku,buku~ku,possessive,,medium,[],,False,,
bukumu,buku~mu,possessive,,medium,[],,False,,
bukunya,buku~nya,possessive,,medium,[],,False,,
rumahku,rumah~ku,possessive,,medium,[],,False,,
rumahmu,rumah~mu,possessive,,medium,[],,False,,
rumahnya,rumah~nya,possessive,,medium,[],,False,,
mobilku,mobil~ku,possessive,,medium,[],,False,,
mobilmu,mobil~mu,possessive,,medium,[],,False,,
mobilnya,mobil~nya,possessive,,medium,[],,False,,
tasnya,tas~nya,possessive,,medium,[],,False,,
tasmuku,tas~mu~ku,possessive,,medium,[],,False,,
tasku,tas~ku,possessive,,medium,[],,False,,
sepatuku,sepatu~ku,possessive,,medium,[],,False,,
sepatumu,sepatu~mu,possessive,,medium,[],,False,,
ambilkanlah,ambil~kan~lah,particle,,medium,[],,False,,
apakah,apa~kah,particle,,medium,[],,False,,
bacalah,baca~lah,particle,,medium,[],,False,,
berjalanlah,ber~jalan~lah,particle,,medium,[],,False,,
bukankah,bukan~kah,particle,,medium,[],,False,,
datanglah,datang~lah,particle,,medium,[],,False,,
dengarkanlah,dengar~kan~lah,particle,,medium,[],,False,,
diambilpun,di~ambil~pun,particle,,medium,[],,False,,
duduklah,duduk~lah,particle,,medium,[],,False,,
gurupun,guru~pun,particle,,medium,[],,False,,
ikutlah,ikut~lah,particle,,medium,[],,False,,
ingatkah,ingat~kah,particle,,medium,[],,False,,
janganlah,jangan~lah,particle,,medium,[],,False,,
katakanlah,kata~kan~lah,particle,,medium,[],,False,,
