id,word,annotator_segmentation,uncertain,annotator_notes
G118,mobilku,,,
G119,mempermainkannya,,,
G120,pembukaan,,,
G121,serba-serbi,,,
G122,penyelesaian,,,
G123,obat-obatan,,,
G124,bukakan,,,
G125,memperlakukan,,,
G126,meng-hack,,,
G127,bukui,,,
G128,kebersamaan,,,
G129,menyakitimu,,,
G130,menduduki,,,
G131,tasku,,,
G132,kedinginan,,,
G133,penggabungan,,,
G134,follow-kan,,,
G135,perjalanan,,,
G136,dengarkanlah,,,
G137,mengoptimalkan,,,
G138,dibangunnya,,,
G139,terperosok,,,
G140,di-review,,,
G141,bawakan,,,
G142,sayur-mayuran,,,
G143,menganalisis,,,
G144,penglihatan,,,
G145,terakhir,,,
G146,keburukankah,,,
G147,dikirimkannya,,,
G148,makan-minum-minuman,,,
G149,pembakuan,,,
G150,berlari,,,
G151,mengupload,,,
G152,masukkan,,,
G153,melompat,,,
G154,menghadapi,,,
G155,melepas,,,
G156,mengajarkannya,,,
G157,sehat-walafiat-walafiatkan,,,
G158,kirimkan,,,
G159,kedatangan,,,
G160,sana-sini-sinikan,,,
G161,mengorganisasikan,,,
G162,pembelajaran,,,
G163,anak-cucu-cicit,,,
G164,dijual,,,
G165,menyelenggarakan,,,
G166,pendidikan,,,
G167,pengajaran,,,
G168,mendownload,,,
G169,perbaikan,,,
G170,berangkat,,,
G171,tetumbuhan,,,
G172,di-posting-kan,,,
G173,menolongnya,,,
G174,berpikir,,,
G175,dilihatnya,,,
G176,kegembiraan,,,
G177,kursii,,,
G178,mejai,,,
G179,peraturan,,,
G180,belikan,,,
G181,membukakannya,,,
G182,kedamaian,,,
G183,dibaca,,,
G184,meng-spam,,,
G185,pembenahan,,,
G186,sesama,,,
G187,berolahraga,,,
G188,berhitung,,,
G189,mendirikan,,,
G190,kejar-kejaran,,,
G191,terima,,,
G192,memotong,,,
G193,terimakan,,,
G194,menyederhanakan,,,
G195,terperdaya,,,
G196,lelaki,,,
G197,pengurangan,,,
G198,tua-muda-mudaan,,,
G199,simpanan,,,
G200,berjalan-jalan-jalan,,,
G201,meng-edit,,,
G202,dipukulnya,,,
G203,berkata,,,
G204,menari,,,
G205,memasak,,,
G206,mengecat,,,
G207,lauk-pauk-paukkan,,,
G208,dibacakannya,,,
G209,terus,,,
G210,taruhkan,,,
G211,membelikan,,,
G212,menyebut,,,
G213,lihatkan,,,
G214,memperkuat,,,
G215,nyetel,,,
G216,kebahagiaan,,,
G217,dikirim,,,
G218,sepatumu,,,
G219,ngopi,,,
G220,tuliskan,,,
G221,mengajar,,,
G222,di-scan,,,
G223,kecantikan,,,
G224,dibawa,,,
G225,terperinci,,,
G226,kekayaanlah,,,
G227,memperhatikan,,,
G228,mengetik,,,
G229,tutupkan,,,
G230,meng-stream,,,
G231,menyempurnakan,,,
G232,selfie-kan,,,
G233,jendelai,,,
G234,minuman,,,
G235,berdiri,,,
G236,penyaringan,,,
G237,mobilnya,,,
G238,dibuka,,,
G239,penyederhanaan,,,
G240,mengakses,,,
G241,ditulis,,,
G242,terbang,,,
G243,perhiasan,,,
G244,keluarkan,,,
G245,bukumu,,,
G246,kiriman,,,
G247,mengimplementasikan,,,
G248,kebanggaanku,,,
G249,berhenti,,,
G250,pembangunan,,,
G251,terperangah,,,
G252,mengedit,,,
G253,pandangan,,,
G254,kecantikanlah,,,
G255,bacalah,,,
G256,mainan,,,
G257,perdagangan,,,
G258,menyayangimu,,,
G259,membaca,,,
G260,pemeliharaan,,,
G261,kebebasan,,,
G262,pupuki,,,
G263,kebersihanku,,,
G264,rumahnya,,,
G265,perasaan,,,
G266,menyanyi,,,
G267,menyiapkan,,,
G268,meng-tweet,,,
G269,mengasihinya,,,
G270,kecil-kecilan,,,
G271,makanan,,,
G272,bolak-balik,,,
G273,permainankah,,,
G274,tulisan,,,
G275,menyusun,,,
G276,penyusunanulang,,,
G277,kebersahajaan,,,
G278,memperdalam,,,
G279,mengganggunya,,,
G280,pengelolaan,,,
G281,menggambar,,,
G282,mengoperasikan,,,
G283,perkumpulan,,,
G284,like-kan,,,
G285,jualkan,,,
G286,mendiskusikan,,,
G287,memperlihatkan,,,
G288,ambilkanlah,,,
G289,menyapaiku,,,
G290,dimakan,,,
G291,lauk-pauk,,,
G292,hutan-belantara,,,
G293,pengukuhan,,,
G294,keindahan,,,
G295,pembebanan,,,
G296,kegagalan,,,
G297,memperbarui,,,
G298,mengunjungi,,,
G299,kemerdekaan,,,
G300,mencintai,,,
G301,pembentukan,,,
G302,mendengarkan,,,
G303,pembudayaan,,,
G304,dindingi,,,
G305,ditutup,,,
G306,terlalu,,,
G307,dibeli,,,
G308,penggunaan,,,
G309,kecintaan,,,
G310,share-kan,,,
G311,mengundangkan,,,
G312,ikutlah,,,
G313,tertutup,,,
G314,terbuka,,,
G315,nge-print,,,
G316,tukar-menukarkan,,,
G317,kebijaksanaan,,,
G318,kecurian,,,
G319,membelikannya,,,
G320,terpercaya,,,
G321,pendengaran,,,
G322,datanglah,,,
G323,lelatu,,,
G324,berbicara,,,
G325,dibicarakanlah,,,
G326,bacaan,,,
G327,pengolahan,,,
G328,mengkompilasi,,,
G329,gurupun,,,
G330,tasnya,,,
G331,ajaran,,,
G332,mengunduh,,,
G333,membacakan,,,
G334,berjalanlah,,,
G335,penyusunan,,,
G336,penyusutan,,,
G337,jahiti,,,
G338,mengirim,,,
G339,memperindah,,,
G340,membacakannya,,,
G341,tetangga,,,
G342,perlindungan,,,
G343,leluhur,,,
G344,mempergunakan,,,
G345,lantaii,,,
G346,menyelesaikan,,,
G347,perlawanan,,,
G348,menangkap,,,
G349,terperangkap,,,
G350,membenci,,,
G351,tasmuku,,,
G352,meng-chat,,,
G353,mengerti,,,
G354,ingatkah,,,
